Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RegisterValidation,,,,2022-03-17 22:41:20,2022-03-17 22:41:30,10.055s,PASSED
,,,,,,,
Test Cases/Register/ValidateRegisterFailed,,,,2022-03-17 22:41:21,2022-03-17 22:41:26,5.122s,PASSED
"response = sendRequest(findTestObject(""Register/FailedRegister""))",,,,2022-03-17 22:41:22,2022-03-17 22:41:26,4.247s,PASSED
"verifyResponseStatusCode(response, 400)",,,,2022-03-17 22:41:26,2022-03-17 22:41:26,0.061s,PASSED
"verifyElementPropertyValue(response, ""error"", ""Missing password"")",,,,2022-03-17 22:41:26,2022-03-17 22:41:26,0.092s,PASSED
,,,,,,,
Test Cases/Register/ValidateRegisterSuccess,,,,2022-03-17 22:41:26,2022-03-17 22:41:30,3.929s,PASSED
"response = sendRequest(findTestObject(""Register/SuccessRegister""))",,,,2022-03-17 22:41:27,2022-03-17 22:41:30,3.426s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-03-17 22:41:30,2022-03-17 22:41:30,0.010s,PASSED
"verifyElementPropertyValue(response, ""id"", 4)",,,,2022-03-17 22:41:30,2022-03-17 22:41:30,0.044s,PASSED
"verifyElementPropertyValue(response, ""token"", ""QpwL5tke4Pnpja7X4"")",,,,2022-03-17 22:41:30,2022-03-17 22:41:30,0.023s,PASSED
