Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RegisterValidation,,,,2022-03-17 22:26:17,2022-03-17 22:26:27,10.898s,PASSED
,,,,,,,
Test Cases/User/ValidateUserLists,,,,2022-03-17 22:26:17,2022-03-17 22:26:23,5.788s,PASSED
"response = sendRequest(findTestObject(""User/UserLists""))",,,,2022-03-17 22:26:18,2022-03-17 22:26:23,4.657s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-03-17 22:26:23,2022-03-17 22:26:23,0.062s,PASSED
"verifyElementPropertyValue(response, ""page"", 1)",,,,2022-03-17 22:26:23,2022-03-17 22:26:23,0.097s,PASSED
,,,,,,,
Test Cases/User/ValidateUserNotFound,,,,2022-03-17 22:26:23,2022-03-17 22:26:25,2.051s,PASSED
"response = sendRequest(findTestObject(""User/UserNotFound""))",,,,2022-03-17 22:26:24,2022-03-17 22:26:25,1.397s,PASSED
"verifyResponseStatusCode(response, 404)",,,,2022-03-17 22:26:25,2022-03-17 22:26:25,0.015s,PASSED
,,,,,,,
Test Cases/User/ValidateUserDetails,,,,2022-03-17 22:26:25,2022-03-17 22:26:27,2.096s,PASSED
"response = sendRequest(findTestObject(""User/UserDetails""))",,,,2022-03-17 22:26:26,2022-03-17 22:26:27,1.269s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-03-17 22:26:27,2022-03-17 22:26:27,0.003s,PASSED
"verifyElementPropertyValue(response, ""data.id"", 2)",,,,2022-03-17 22:26:27,2022-03-17 22:26:27,0.027s,PASSED
